rank,nct_id,title,conditions,interventions
4067,NCT02504671,Study to Evaluate the Efficacy and Safety of GSK3196165 Plus Methotrexate in Subjects With Active Moderate-Severe Rheumatoid Arthritis,"Arthritis, Rheumatoid",Drug: GSK3196165|Drug: MTX|Drug: Folic acid|Drug: Placebo
4095,NCT02501629,An Efficacy and Safety Study of Reslizumab Subcutaneous in Patients With Oral Corticosteroid Dependent Asthma and Elevated Blood Eosinophils,Asthma|Elevated Blood Eosinophils|Oral Corticosteroid Dependence,Drug: Reslizumab|Drug: Placebo|Drug: Non-Oral Corticosteroid (non-OCS) Asthma Medication|Drug: Oral Corticosteroid (OCS)
4100,NCT02500836,"Topical Application of Cocaine HCl 4%, or 10%, or Placebo Solution in Local (Topical) Anesthesia",Any Ear Nose or Throat Conditions|With Identified Need for a Diagnostic Procedure or Surgery on or Through the Mucous Membranes of the Nasal Cavities,Drug: Cocaine HCl 4% Topical Solution|Drug: Cocaine HCl 10% Topical Solution|Drug: Placebo Topical Solution
4129,NCT02497976,Pilot Study Evaluating the Efficacy of Certolizumab Pegol for Interstitial Cystitis,"Cystitis, Interstitial",Biological: Certolizumab pegol|Drug: Placebo
4144,NCT02495844,A Study of UCB0942 in Adult Patients With Highly Drug-resistant Focal Epilepsy,Highly Drug-resistant Focal Epilepsy,Drug: UCB0942|Drug: Placebo
4170,NCT02493452,Second Plecanatide Study In Irritable Bowel Syndrome With Constipation (IBS-C),Irritable Bowel Syndrome Characterized by Constipation,Drug: Plecanatide|Drug: Placebo
4177,NCT02492958,"SA4Ag Safety, Tolerability, and Immunogenicity Study in Japanese Adults",Staphylococcal Infections,Biological: Staphylococcus aureus 4-antigen vaccine|Biological: Placebo
4186,NCT02491684,"A Study in Asthma Patients to Evaluate Efficacy, Safety and Tolerability of 14 Days Once Daily Inhaled Interferon Beta-1a After the Onset of Symptoms of an Upper Respiratory Tract Infection",Asthma,Drug: Interferon beta-1a Nebuliser solution 48 μg/mL|Drug: Placebo
4187,NCT02491463,"A Study to Assess the Safety, Reactogenicity and Immunogenicity of GlaxoSmithKline (GSK) Biologicals' RSV Investigational Vaccine (ChAd155-RSV) (GSK3389245A) in Healthy Adults",Respiratory Synctial Virus Infections,Biological: GSK3389245A_LD GROUP|Biological: GSK3389245A_HD GROUP|Biological: Bexsero|Drug: Placebo
4195,NCT02490293,Is it Fair to Use Antibiotics After Laparoscopic Cholecystectomy for the Patients With Acutely Inflamed Gallbladder?,Acute Cholecystitis,Drug: Cephalosporin|Drug: Placebo
4204,NCT02488980,An Evaluation of Weekly Tafenoquine,Falciparum Parasitaemia,Drug: Tafenoquine|Drug: Mefloquine|Drug: Placebo
4229,NCT02486653,Prevention of Post-operative Urinary Retention,Urinary Retention|Urinary Tract Infections,Drug: Tamsulosin|Drug: Placebo
4236,NCT02485717,Phase 3 Trial to Assess the Safety and Efficacy of Natroba for the Treatment of Scabies,Scabies,"Drug: spinosad topical suspension, 0.9%|Other: Placebo"
4237,NCT02485704,Phase 3 Trial to Assess the Safety and Efficacy of Natroba for the Treatment of Scabies,Scabies,"Drug: spinosad topical suspension, 0.9%|Other: Placebo"
4241,NCT02485301,A Study to Evaluate the Safety and Immunogenicity of a Candidate Ebola Vaccine in Adults,Virus Diseases,Biological: GlaxoSmithKline (GSK) Biologicals' investigational recombinant chimpanzee adenovirus Type 3-vectored Ebola Zaire vaccine (ChAd3-EBO-Z) (GSK3390107A)|Drug: Placebo
4246,NCT02484729,"A Study to Assess the Safety, Tolerability and Pharmacokinetics of AZD9977 After Single Ascending Doses to Healthy Males",Safety|Tolerability|Pharmacokinetics|Healthy Subjects,"Drug: AZD9977, oral suspension|Drug: Placebo, oral suspension|Drug: AZD9977, oral solution"
4268,NCT02481141,Pilot Study to Evaluate the Safety and Efficacy of 5-ALA-SFC in Type II Diabetes,"Diabetes Mellitus, Type 2",Drug: 5-ALA-SFC|Drug: Placebo
4291,NCT02477618,A Study With SAGE-547 for Super-Refractory Status Epilepticus,Super-Refractory Status Epilepticus,Drug: SAGE-547|Drug: Placebo
4295,NCT02477332,Dose-finding Study of QGE031 as add-on Therapy to Evaluate Efficacy and Safety in Patients With CSU,Chronic Spontaneous Urticaria,Biological: QGE031|Biological: Omalizumab|Other: Placebo
4317,NCT02474589,"A Trial to Assess the Safety, Tolerability, and Pharmacokinetics of the Anti-Orthopoxvirus Compound Tecovirimat",Smallpox,Drug: tecovirimat|Other: Placebo
4370,NCT02469298,"Safety, Tolerability and Clinical Effect of Danirixin in Adults With Influenza",Virus Diseases,Drug: GSK1325756 (Danirixin)|Drug: Placebo To Match GSK1325756|Drug: Oseltamivir Phosphate|Drug: Placebo To Match Oseltamivir Phosphate
4371,NCT02469246,Switch Study to Evaluate F/TAF in HIV-1 Infected Adults Who Are Virologically Suppressed on Regimens Containing ABC/3TC,HIV-1 Infection,Drug: F/TAF|Drug: ABC/3TC|Drug: ABC/3TC Placebo|Drug: F/TAF Placebo|Drug: 3rd ARV agent
4386,NCT02467075,Double-Blind Placebo-Controlled CIN Trial,Acute Kidney Injury,Drug: Iopamidol 300 (Contrast)|Drug: Placebo (Normal Saline)
4402,NCT02465450,"Safety, Tolerability, Pharmacokinetics, and Efficacy of JBT-101 (Lenabasum) in Cystic Fibrosis",Cystic Fibrosis,Drug: JBT-101 (lenabasum)|Other: Placebo
4403,NCT02465437,"Safety, Tolerability, Efficacy, and Pharmacokinetics of JBT-101 in Systemic Sclerosis",Diffuse Cutaneous Systemic Sclerosis,Drug: JBT-101|Drug: Placebo|Drug: Part B Open-Label Extension
4405,NCT02465216,Phase 2a ID93 + GLA-SE Vaccine Trial in TB Patients After Treatment Completion,Pulmonary Tuberculosis,Other: Placebo|Biological: ID93 + GLA-SE
4435,NCT02461160,"Phase 1, TAK-915-1001, Single-Rising Dose, Multiple-Rising Dose, Drug-Drug Interaction, Relative Bioavailability, Food Effect, and Effect on Elderly Participants Study",Healthy Volunteers,Drug: TAK-915 suspension|Drug: Midazolam|Drug: Placebo|Drug: TAK-915 tablet
4478,NCT02454283,Safety and Efficacy of Vanoxerine for the Conversion of Subjects With Recent Onset Atrial Fibrillation or Flutter to Normal Sinus Rhythm,Atrial Fibrillation or Flutter,Drug: Vanoxerine HCl|Drug: Placebo
4501,NCT02452047,Efficacy and Safety of Imipenem+Cilastatin/Relebactam (MK-7655A) Versus Colistimethate Sodium+Imipenem+Cilastatin in Imipenem-Resistant Bacterial Infection (MK-7655A-013),Bacterial Infections,Drug: Imipenem+Cilastatin/Relebactam|Drug: Colistimethate sodium (CMS)|Drug: Imipenem+Cilastatin|Drug: Placebo to CMS
4525,NCT02449291,Study of APD421 as PONV Treatment (no Prior Prophylaxis),Postoperative Nausea and Vomiting,Drug: APD421|Drug: Placebo
4542,NCT02447458,MLN3126 Single Rising Dose Study,Healthy Volunteers,Drug: MLN3126|Drug: MLN3126 Placebo
4548,NCT02446990,Effects of Ivabradine in Patients With Stable Coronary Artery Disease Without Clinical Heart Failure,Coronary Artery Disease,Drug: Ivabradine|Drug: Placebo
4585,NCT02443402,Sitagliptin in Non-Diabetic Patients Undergoing Cardiac Surgery,Coronary Artery Disease,Drug: Sitagliptin|Drug: Placebo|Drug: Regular Human Insulin|Drug: Insulin glargine|Drug: Supplemental insulin (Insulin lispro)|Drug: Supplemental insulin (Insulin aspart)
4600,NCT02441218,Effects of Ivabradine on Cardiovascular Events in Patients With Moderate to Severe Chronic Heart Failure and Left Ventricular Systolic Dysfunction. A Three-year International Multicentre Study,Chronic Heart Failure,Drug: Ivabradine|Drug: Placebo
4619,NCT02438787,A Study to Evaluate the Efficacy and Safety of Ustekinumab in the Treatment of Anti-TNF(Alpha) Refractory Participants With Active Radiographic Axial Spondyloarthritis,Axial Spondyloarthritis,Drug: Placebo|Drug: Ustekinumab 45 mg|Drug: Ustekinumab 90 mg|Drug: Golimumab 50 mg
4625,NCT02437890,A Phase II Study to Evaluate Safety and Efficacy of ALX-0061 in Subjects With Systemic Lupus Erythematosus,"Lupus Erythematosus, Systemic",Biological: ALX-0061|Biological: Placebo
4629,NCT02437487,SER-109 Versus Placebo to Prevent Recurrent Clostridium Difficile Infection (RCDI),Clostridium Difficile,Drug: SER-109|Drug: Placebo
4637,NCT02437162,A Study to Evaluate the Efficacy and Safety of Ustekinumab in the Treatment of Anti-TNFα Naive Participants With Active Radiographic Axial Spondyloarthritis,Axial Spondyloarthritis,Drug: Placebo|Drug: Ustekinumab 45 mg|Drug: Ustekinumab 90 mg|Drug: Golimumab 50 mg
4678,NCT02431754,A Study of Tadalafil (LY450190) in Participants With Lower Urinary Tract Symptoms (LUTS) Suggestive of Benign Prostatic Hyperplasia LUTS (BPH-LUTS).,Benign Prostatic Hyperplasia,Drug: Tadalafil|Drug: Placebo|Drug: Alpha1 Blocker
4683,NCT02431468,A Study Assessing Bryostatin in the Treatment of Moderately Severe to Severe Alzheimer's Disease,Alzheimer's Disease,Drug: Bryostatin 1|Other: Placebo
4688,NCT02431247,A Study to Evaluate Efficacy and Safety of Darunavir/Cobicistat/Emtricitabine/Tenofovir Alafenamide (D/C/F/TAF) Fixed Dose Combination (FDC) Versus a Regimen Consisting of Darunavir/Cobicistat FDC With Emtricitabine/Tenofovir Disoproxil Fumarate FDC in Treatment-naive HIV Type 1 Infected Subjects,"Immunodeficiency Virus Type 1, Human",Drug: Darunavir/Cobicistat/Emtricitabine/Tenofovir Alafenamide FDC|Drug: DRV/COBI FDC|Drug: FTC/TDF FDC|Drug: D/C/F/TAF FDC - Matching Placebo|Drug: FTC/TDF FDC Matching Placebo|Drug: DRV/COBI FDC Matching Placebo
4690,NCT02430870,TAK-648 Multiple-Rising Dose Study in Healthy Japanese Participants and Non-Japanese Participants With Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus,Drug: TAK-648|Drug: Placebo
4718,NCT02426918,Study of Debio 1450 for Bacterial Skin Infections,Bacterial Infections,Drug: Debio 1450 IV|Drug: Debio 1450 Oral|Drug: Linezolid|Drug: Debio 1450 Oral Placebo|Drug: Linezolid Placebo|Drug: Vancomycin IV
4728,NCT02424799,"Study to Investigate Safety, Tolerability, Pharmacodynamics and Pharmacokinetics of GSK2646264",Urticaria,Drug: GSK2646264 0.5% topical cream|Drug: GSK2646264 1% topical cream|Drug: Placebo
4742,NCT02423577,Safety and Protective Efficacy of FF-3 Dry Powder in Healthy Subjects Infected With Influenza Challenge Strain,Influenza,Drug: FF-3 dry powder|Drug: Placebo
4744,NCT02423408,Safety and Efficacy Study of TNX-201 Capsules for Treatment of Single Tension-Type Headache,Tension-Type Headache,Drug: TNX-201|Drug: Placebo
4763,NCT02421172,"Efficacy, Safety, and Pharmacokinetics Study of CJM112 in Hidradenitis Suppurativa Patients",Hidradenitis Suppurativa (Acne Inversa),Biological: CJM112|Drug: Placebo
4775,NCT02419937,Short-Term Application of Tocilizumab Following Myocardial Infarction,Myocardial Infarction,Drug: Tocilizumab|Drug: Placebo
4786,NCT02418819,"A Study To Examine Safety, Pharmacokinetics, And Pharmacodynamic Of Pf 06412562 In Subjects With Schizophrenia",Schizophrenia,Drug: PF-06412562 3mg BID|Drug: PF-06412562 9mg BID|Drug: PF-06412562 45mg BID|Other: Placebo
4791,NCT02418312,Efficacy of H2 Receptor Antagonist in Prevention of Thienopyridine-related Peptic Ulcer,Peptic Ulcer,Drug: histamine-2 receptor antagonist|Drug: Placebo
4808,NCT02416180,Study to Evaluate Handling Errors in Usage of SERETIDE® Metered Dose Inhaler (MDI) (EVOHALER®) by Adult Subjects Currently Using the SERETIDE DISKUS® Inhaler,Asthma,Device: SERETIDE MDI|Device: Placebo DISKUS Inhaler|Device: Placebo MDI
4813,NCT02415439,"A Phase 1 Single Ascending Dose and Multiple Ascending Dose Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of VBP15 in Healthy Adult Subjects",Healthy,Drug: VBP15|Drug: Placebo
4820,NCT02414828,A Study to Evaluate the Safety of AERAS-402 in Adults Recently Treated for Pulmonary TB,Tuberculosis,Biological: Placebo|Biological: AERAS-402 3 x 10^8 vp|Biological: AERAS-402 3 x 10^9 vp|Biological: AERAS-402 3 x 10^10 vp
4834,NCT02413255,"Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Ascending Single- and Multiple-Doses of TAK-020 in Healthy Volunteers",Healthy Volunteers,Drug: TAK-020|Drug: TAK-020 Placebo
4835,NCT02413229,A Randomized Double Blind Vehicle Controlled Dose Ranging Parallel Design Multiple Site Clinical Study,Plaque Psoriasis,Drug: DSXS1411|Drug: Placebo
4856,NCT02411539,"Evaluating the Safety, Tolerability, and Effect of a Human Monoclonal Antibody (VRC01) on Markers of HIV Persistence in HIV-Infected Adults Receiving Antiretroviral Therapy (ART)",HIV Infections,Biological: VRC01|Biological: Placebo
4866,NCT02410382,Dexamethasone for Treatment of Radiation-related Fatigue in Patients Receiving RT for Head-neck and Lung Cancer,Head and Neck Cancer|Non-small Cell Lung Cancer,Drug: Dexamethasone|Drug: Placebo
4869,NCT02410278,Study of Montelukast on Gastrointestinal Tolerability in Patients With Relapsing Forms of Multiple Sclerosis Receiving Tecfidera,Multiple Sclerosis,Drug: dimethyl fumarate|Drug: montelukast|Drug: Placebo
4880,NCT02409459,Blinded Randomized Placebo-Controlled Study Efficacy and Safety of Injectafer in ID Patients With Fibromyalgia,Iron Deficiency|Fibromyalgia,Drug: Injectafer|Drug: Placebo
4889,NCT02407223,An Efficacy and Safety Study of Ustekinumab in Participants With Active Nonradiographic Axial Spondyloarthritis,"Nonradiographic Axial Spondylitis, Ankylosing",Drug: Group 1: Placebo|Drug: Group 2: Ustekinumab 45 mg|Drug: Group 3: Ustekinumab 90 mg
4900,NCT02406027,An Extension Study to Evaluate the Long-Term Safety and Tolerability of JNJ-54861911 in Participants in the Early Alzheimer's Disease Spectrum,Alzheimer Disease,"Drug: JNJ-54861911, 10 mg|Drug: JNJ-54861911, 25 mg|Drug: Placebo|Drug: JNJ-54861911, 5 mg"
4903,NCT02405442,Safety and Efficacy of Andecaliximab in Participants With Moderately to Severely Active Crohn's Disease,Crohn's Disease,Drug: Andecaliximab|Drug: Placebo
4925,NCT02403674,Comparison of MK-1439A and ATRIPLA™ in Treatment-Naive Human Immunodeficiency Virus Type 1 (HIV-1)-Infected Participants (MK-1439A-021),Human Immunodeficiency Virus (HIV),Drug: MK-1439A|Drug: ATRIPLA™|Drug: Placebo
4952,NCT02400749,Apremilast in Palmo-Plantar Psoriasis,Palmo-plantar Psoriasis,Drug: Apremilast|Drug: Placebo
4965,NCT02398188,Evaluating the Safety and Efficacy of LIPO-202 for the Reduction of Central Abdominal Bulging Due to Subcutaneous Fat (AbCONTOUR2),Central Abdominal Bulging,Drug: LIPO-202|Drug: Placebo
4969,NCT02397694,"Safety and Efficacy of Bictegravir + Emtricitabine/Tenofovir Alafenamide Versus Dolutegravir + Emtricitabine/Tenofovir Alafenamide in HIV-1 Infected, Antiretroviral Treatment-Naive Adults",HIV-1 Infection,Drug: BIC|Drug: F/TAF|Drug: DTG|Drug: BIC Placebo|Drug: DTG Placebo|Drug: B/F/TAF
5012,NCT02393417,Safety and Efficacy of Varying Regimens of CANDIN for Treatment of Common Warts (Verruca Vulgaris),Warts,Biological: CANDIN|Other: Placebo
5017,NCT02392624,A Study of the Efficacy and Safety of Omalizumab Through 48 Weeks in Participants With Chronic Idiopathic Urticaria,Urticaria,Drug: Omalizumab|Drug: Placebo
5044,NCT02389881,"Safety, Tolerability, and Pharmacokinetics of Multiple-Dose TAK-058 in Healthy Participants",Healthy Volunteers,Drug: TAK-058|Drug: TAK-058 Placebo
5051,NCT02389621,Safety and Efficacy Study of Lusutrombopag for Thrombocytopenia in Patients With Chronic Liver Disease Undergoing Elective Invasive Procedures,Chronic Liver Disease|Thrombocytopenia,Drug: Lusutrombopag|Drug: Placebo
5063,NCT02388724,Efficacy and Safety of Oral Once-Daily Vonoprazan (TAK-438) in Participants With Erosive Esophagitis,Erosive Esophagitis,Drug: Vonoprazan|Drug: Lansoprazole|Drug: Vonoprazan Placebo|Drug: Lansoprazole Placebo
5085,NCT02387359,The Plecanatide Irritable Bowel Syndrome With Constipation Study (IBS-C),Irritable Bowel Syndrome Characterized by Constipation,Drug: Plecanatide|Drug: Placebo
5159,NCT02377362,"A Study to Assess the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of GLWL-01","Diabetes Mellitus, Type 2","Drug: GLWL-01, Part A|Drug: Placebo, Part A|Drug: GLWL-01, Part B|Drug: Placebo, Part B|Drug: GLWL-01, Part C|Drug: Placebo, Part C"
5164,NCT02376790,Etanercept and Methotrexate in Combination or as Monotherapy in Psoriatic Arthritis,Psoriatic Arthritis,Drug: Etanercept|Drug: Methotrexate|Drug: Placebo to Etanercept|Drug: Placebo to Methotrexate
5172,NCT02375698,A Phase I Study of Safety & Immunogenicity of AERAS-456 in HIV-Neg. Adults Treated for Drug-susceptible Pulmonary TB,Tuberculosis,Biological: H56:IC31|Biological: Placebo
5221,NCT02370043,"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Food-Effect of KQ-791",Healthy Volunteers|Insulin Resistance,Drug: KQ-791|Drug: KQ-791 (after meal)|Drug: Placebo
5224,NCT02369835,Modified Dakin's Solution in Reducing Radiation-Induced Dermatitis in Patients With Head and Neck Cancer Undergoing Radiation Therapy,Head and Neck Carcinoma|Radiation-Induced Dermatitis,Drug: Dakin's solution|Other: Placebo
5281,NCT02363946,A Study of ARC-AAT in Healthy Volunteer Subjects and Patients With Alpha-1 Antitrypsin Deficiency (AATD),Alpha-1 Antitrypsin Deficiency,Drug: ARC-AAT Injection|Other: Placebo|Drug: Diphenhydramine
5296,NCT02362321,Role of Dexamethasone in the Conservative Treatment of Chronic Subdural Hematoma,"Hematoma, Subdural, Chronic",Drug: Dexamethasone|Other: Placebo
5302,NCT02361476,Does Intraoperative Clonidine Reduce Post Operative Agitation in Children?,Psychomotor Agitation,Drug: Clonidine|Drug: Placebo
5306,NCT02360631,Advancing Tobacco Use Treatment for African American Smokers,Smoking Cessation,Drug: Chantix|Drug: Placebo
5332,NCT02357901,Treatment Seeking Participants With Opioid Use Disorders Assessing Tolerability of Depot Injections of Buprenorphine,Opioid Dependence|Opioid Related Disorders,Drug: SUBOXONE|Drug: RBP-6000|Drug: Placebo
5355,NCT02355665,Study to Determine the Efficacy and Safety of a Novel Nicotine Replacement Therapy,Tobacco Dependence,Drug: Nicotine Spray|Drug: Placebo
5364,NCT02354599,Single-Dose Study of MT203,Healthy Volunteers,Drug: MT203 80 mg or matching Placebo|Drug: MT203 150mg or matching Placebo|Drug: MT203 300 mg or matching placebo
5404,NCT02349477,Gabapentin for Alcohol Relapse Prevention,Alcohol Use Disorder|Alcohol Withdrawal,Drug: Gabapentin|Drug: Placebo
5408,NCT02349360,"Safety, Tolerability and Host Response to Lactobacillus Johnsonii",Healthy,Biological: L. johnsonii N6.2|Biological: Placebo
5409,NCT02349295,A Study of Ixekizumab (LY2439821) in Participants With Active Psoriatic Arthritis,Psoriatic Arthritis,Drug: Placebo|Drug: Ixekizumab 80 mg Q4W|Drug: Ixekizumab 80 mg Q2W
5412,NCT02349061,"A Phase 2a, Efficacy and Safety Study of Ustekinumab in Systemic Lupus Erythematosus","Lupus Erythematosus, Systemic",Drug: Ustekinumab IV|Drug: Placebo Infusion|Drug: Placebo SC|Drug: Ustekinumab SC|Other: Concomitant Medication
5444,NCT02346240,Efficacy and Safety Study of Certolizumab Pegol (CZP) Versus Active Comparator and Placebo in Subjects With Plaque Psoriasis (PSO),Psoriasis|Plaque Psoriasis,Biological: Certolizumab Pegol|Biological: Etanercept|Other: Placebo
5453,NCT02345252,Switch Study to Evaluate the Safety and Efficacy of Emtricitabine/Rilpivirine/Tenofovir Alafenamide (FTC/RPV/TAF) Fixed Dose Combination (FDC) in HIV-1 Positive Adults Who Are Virologically Suppressed on Emtricitabine/Rilpivirine/Tenofovir Disoproxil Fumarate (FTC/RPV/TDF),HIV-1 Infection,Drug: FTC/RPV/TAF|Drug: FTC/RPV/TDF Placebo|Drug: FTC/RPV/TDF|Drug: FTC/RPV/TAF Placebo
5454,NCT02345226,"Study to Evaluate Switching From a Regimen Consisting of Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate (EFV/FTC/TDF) Fixed Dose Combination (FDC) to Emtricitabine/Rilpivirine/Tenofovir Alafenamide (FTC/RPV/TAF) FDC in Virologically-Suppressed, HIV-1 Infected Adults",HIV-1 Infection,Drug: FTC/RPV/TAF|Drug: EFV/FTC/TDF Placebo|Drug: EFV/FTC/TDF|Drug: FTC/RPV/TAF Placebo
5459,NCT02344407,Partnership for Research on Ebola Vaccines in Liberia (PREVAIL),Ebola Virus,Biological: VSVG-ZEBOV|Biological: ChAd3-EBO Z|Biological: Placebo
5483,NCT02342314,A Study of LY3143753 and LY3185643 in Healthy Participants,Healthy,Drug: LY3143753 (Part A)|Drug: LY3185643 (Part B)|Drug: Placebo (Part A and Part B)|Drug: rGlucagon (Part B)
5522,NCT02338843,A Phase 3 Study of LJPC-501 in Patients With Catecholamine-Resistant Hypotension,Catecholamine-resistant Hypotension (CRH)|Distributive Shock|High Output Shock|Sepsis,Drug: LJPC-501|Drug: Placebo
5539,NCT02337387,A Study of 2 Different Formulations of Blosozumab (LY2541546) in Post Menopausal Women,"Osteoporosis, Postmenopausal",Biological: Blosozumab|Other: Placebo
5541,NCT02337062,Phase IIIb Study of APD421 in Combination as PONV Prophylaxis,PONV,Drug: APD421|Drug: Placebo
5559,NCT02334982,"Safety, Tolerability and Pharmacokinetics of Escalating Single Doses of TAK-137 in Healthy Participants",Dose Finding Study,Drug: TAK-137|Drug: Placebo
5611,NCT02328404,The Effect of Vitamin D Supplementation Among Overweight Jordanian Women With Polycystic Ovary Syndrome (PCOS),Polycystic Ovary Syndrome|Hypovitaminosis D,"Drug: 50,000 IU vitamin D3|Drug: Placebo"
5624,NCT02326298,An Efficacy and Safety Study of Two Dose Levels of Certolizumab Pegol (CZP) in Subjects With Plaque Psoriasis (PSO),Psoriasis|Plaque Psoriasis,Biological: Certolizumab Pegol|Other: Placebo
5625,NCT02326272,A Study to Evaluate the Efficacy and Safety of Two Dose Levels of Certolizumab Pegol (CZP) in Subjects With Plaque Psoriasis (PSO),Psoriasis|Plaque Psoriasis,Biological: Certolizumab Pegol|Other: Placebo
5639,NCT02324335,Study of the Effects of Brilacidin Oral Rinse on Radiation-induced Oral Mucositis in Patients With Head and Neck Cancer,Head and Neck Neoplasms|Mucositis,Drug: Brilacidin|Other: Placebo
5643,NCT02323646,Safety and Efficacy of Telapristone Acetate (Proellex®) Administered Vaginally for the Treatment of Uterine Fibroids,Uterine Fibroids,Drug: Placebo|Drug: Telapristone Acetate
5711,NCT02316470,"Dose-Confirmation, Immunogenicity and Safety Study of the Clostridium Difficile Vaccine Candidate VLA84 in Healthy Adults Aged 50 Years and Older. Phase II Study",Clostridium Difficile,Biological: VLA84|Biological: Placebo
5751,NCT02312206,"The VITAL Amyloidosis Study, a Global Phase 3, Efficacy and Safety Study of NEOD001 in Patients With AL Amyloidosis",Primary Systemic (AL) Amyloidosis,Drug: NEOD001|Other: Placebo
5763,NCT02310763,"A Phase 2 Study to Evaluate the Safety, Efficacy, Pharmacokinetics and Pharmacodynamics of PF-06252616 in Duchenne Muscular Dystrophy",Duchenne Muscular Dystrophy,Biological: PF-06252616|Drug: Placebo
5773,NCT02309359,A Dose-Range Finding Study for ALX-0061 Combination Therapy in Subjects With Rheumatoid Arthritis,Rheumatoid Arthritis,Biological: ALX-0061|Other: Placebo|Drug: Methotrexate
5818,NCT02303574,"Single + Multiple Ascending Dose and Food Effect Study of AZD7986 in Healthy Volunteers, PK, PD and Safety Study","Safety, Pharmacokinetics, Pharmacodynamics, Food Effect","Drug: AZD7986, oral solution, 1 to 50 mg/mL|Drug: Placebo, oral solution"
5829,NCT02301988,A Study of Ipatasertib (GDC-0068) in Combination With Paclitaxel as Neoadjuvant Treatment for Participants With Early Stage Triple Negative Breast Cancer,Breast Cancer,Drug: Ipatasertib|Drug: Paclitaxel|Drug: Placebo
5832,NCT02301897,"A Multi-Center, Parallel Design, Randomized, Double-Blind Study to Evaluate the Safety and Efficacy of 6 and 12 mg Proellex® (Telapristone Acetate) Administered Orally in the Treatment of Premenopausal Women With Confirmed Symptomatic Uterine Fibroids",Uterine Fibroids,Drug: Telapristone Acetate|Drug: Placebo
5855,NCT02299570,Microbiota Restoration Therapy for Recurrent Clostridium Difficile Infection,Enterocolitis Clostridium Difficile Recurrent,Biological: RBX2660 (microbiota suspension)|Other: Placebo
5885,NCT02296892,A Phase III Study of Remimazolam in Patients Undergoing Bronchoscopy,Bronchoscopy,Drug: Remimazolam|Drug: Placebo|Drug: Midazolam
5892,NCT02296320,Study of the Efficacy and Safety of MEDI4893,Staphylococcus Aureus Pneumonia,Drug: MEDI4893|Other: Placebo
5912,NCT02294227,"16-week Efficacy and 2-year Safety, Tolerability and Efficacy of Secukinumab in Participants With Active Psoriatic Arthritis","Arthritis, Psoriatic",Biological: Secukinumab|Other: Placebo
5914,NCT02293902,A Study Assessing the Efficacy and Safety of Sarilumab Added to MTX in Japanese Patients With Moderately to Severely Active Rheumatoid Arthritis (SARIL-RA-KAKEHASI),Rheumatoid Arthritis,Drug: Sarilumab SAR153191 (REGN88)|Other: Placebo (for sarilumab)|Drug: Methotrexate|Drug: Folic acid
5915,NCT02293863,A Study of MHAA4549A in Combination With Oseltamivir Versus Oseltamivir in Participants With Severe Influenza A Infection,Influenza,Drug: MHAA4549A|Drug: Oseltamivir|Drug: Placebo
5927,NCT02292433,A Phase 1 Study In Japanese Subjects With Type 2 Diabetes Mellitus As Monotherapy,Type 2 Diabetes Mellitus,Drug: PF-04937319 high dose|Drug: PF-04937319 low dose|Drug: Placebo
5933,NCT02291679,Trial of Linaclotide in Patients With Chronic Idiopathic Constipation,Chronic Idiopathic Constipation,Drug: Linaclotide|Drug: Matching Placebo
5941,NCT02290873,A Phase III Study of the Efficacy and Safety of Remimazolam Compared to Placebo and Midazolam in Colonoscopy Patients,Colonoscopy,Drug: Remimazolam|Drug: Midazolam|Drug: Placebo
5947,NCT02290340,"A Phase 1b/2a Randomized, Double-Blind, Placebo-controlled, Dose-escalation Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of MEDI8897, a Monoclonal Antibody With an Extended Half-life Against Respiratory Syncytial Virus, in Healthy Preterm Infants",Respiratory Syncytial Virus,Drug: Placebo|Drug: MEDI8897 10 mg|Drug: MEDI8897 25 mg|Drug: MEDI8897 50 mg
5953,NCT02289898,"Study of Gemcitabine, Abraxane® Plus Placebo Versus Gemcitabine, Abraxane® Plus 1 or 2 Truncated Courses of Demcizumab in Subjects With 1st-Line Metastatic Pancreatic Ductal Adenocarcinoma",Pancreatic Cancer,Drug: Demcizumab|Drug: Abraxane®|Drug: gemcitabine|Drug: Placebo
5961,NCT02289417,Efficacy and Safety Study of Apremilast to Treat Active Ulcerative Colitis,Ulcerative Colitis,Drug: Apremilast|Drug: Placebo
5974,NCT02287922,A Phase IIb Study for ALX-0061 Monotherapy in Subjects With Rheumatoid Arthritis,Rheumatoid Arthritis,Biological: ALX-0061|Biological: Placebo|Biological: Tocilizumab
5977,NCT02287779,Safety and Tolerability Study of SHP626 in Overweight and Obese Adults,Non-Alcoholic Steatohepatitis,Drug: SHP626|Drug: Placebo
5982,NCT02287467,Evaluating the Safety and Efficacy of Anti-Influenza Intravenous Hyperimmune Immunoglobulin (IVIG) in Adults Hospitalized With Influenza,Influenza A|Influenza B,Biological: Intravenous hyperimmune immunoglobulin (IVIG)|Biological: Placebo for IVIG
